_id,Naziv,Zemlja,Gradonacelnik,Broj_stanovnika_grada,Povrsina_grada_km2,Vremenska_zona,Indeks_sigurnosti,Nadmorska_visina_m,Rijeka1,Rijeka2,Rijeka3,Rijeka4,Znamenitost1_ID,Znamenitost1,Opis1,Znamenitost2_ID,Znamenitost2,Opis2,Znamenitost3_ID,Znamenitost3,Opis3
ObjectId(671d3f348e1aa51e8e86b021),Bangkok,Tajland,Chadchart Sittipunt,9034000,1569,UTC+7,59.5,1.5,Chao Phraya,,,,ObjectId(671d631f1ddd1c5ec586b02a),Grand Palace,Prekrasna kraljevska palača u Bangkoku.,,,,,,
ObjectId(671d3f348e1aa51e8e86b023),Moskva,Rusija,Sergey Sobyanin,13010112,2511,UTC+3,64.41,156,Moskva,,,,ObjectId(671d631f1ddd1c5ec586b02d),Kremlj,Povijesna tvrđava i političko središte Rusije.,ObjectId(671d631f1ddd1c5ec586b02e),Crveni trg,Poznata javna površina ispred Kremlja.,,,
ObjectId(671d3f348e1aa51e8e86b01d),Berlin,Njemačka,Kai Wegner,3878100,891.8,CET,55.38,34,Spree,Havel,Dahme,,ObjectId(671d631f1ddd1c5ec586b020),Brandenburška vrata,Neoklasična struktura koja simbolizira mirno ujedinjenje Njemačke.,ObjectId(671d631f1ddd1c5ec586b021),Berlinski zid,Fizička granica koja je dijelila Berlin od 1961. do 1989. godine.,,,
ObjectId(671d3f348e1aa51e8e86b022),Kairo,Egipat,Khaled Abdel Aal,10100166,3085,UTC+2,49.38,23,Nil,,,,ObjectId(671d631f1ddd1c5ec586b02b),Sfinga,Veliki kameni kip s tijelom lava i glavom faraona.,ObjectId(671d631f1ddd1c5ec586b02c),Piramide u Gizi,"Najpoznatije piramide na svijetu, uključujući Veliku piramidu.",,,
ObjectId(671d3f348e1aa51e8e86b024),Kuala Lumpur,Malezija,Maimunah Mohd Sharif,2075600,243,UTC+8,39.32,63,Gombak,Klang,Batu,,ObjectId(671d631f1ddd1c5ec586b02f),Petronas Twin Towers,"Najveći dvostruki neboder na svijetu, simbol Kuala Lumpura.",ObjectId(671d631f1ddd1c5ec586b030),Jalan Alor,Poznata ulica hrane s raznovrsnim štandovima.,,,
ObjectId(671d3f348e1aa51e8e86b01e),Buenos Aires,Argentina,Jorge Macri,3120612,203.3,UTC-3,36.59,25,Rio Reconquista,Rio Lujan,Rio Tigris,,ObjectId(671d631f1ddd1c5ec586b022),Casa Rosada,Simbol političkog života Argentine s karakterističnom ružičastom fasadom.,ObjectId(671d631f1ddd1c5ec586b023),Obelisk,Ikonična struktura i simbol Buenos Airesa.,,,
ObjectId(671d3f348e1aa51e8e86b01f),Manila,Filipini,Mariah Sheilah H.,1846513,38.55,UTC+8,35.77,13,Pasig,Marikina,San Juan,,ObjectId(671d631f1ddd1c5ec586b024),Binondo,"Najstarija kineska četvrt u svijetu, poznata po kulinarstvu.",ObjectId(671d631f1ddd1c5ec586b025),Manila Ocean Park,Tematski park posvećen morskom životu.,ObjectId(671d631f1ddd1c5ec586b026),Fort Santiago,Povijesna tvrđava koja je ključna u filipinskoj povijesti.
ObjectId(671d3f348e1aa51e8e86b020),Tokyo,Japan,Yuriko Koike,14187176,2194,UTC+9,75.55,0,Sumida,Tama,Arakawa,Edogawa,ObjectId(671d631f1ddd1c5ec586b027),Shibuya Crossing,Jedno od najprometnijih raskrižja na svijetu.,ObjectId(671d631f1ddd1c5ec586b028),Tokyo Skytree,Najviša struktura u Japanu s spektakularnim pogledima.,ObjectId(671d631f1ddd1c5ec586b029),Imperial Palace,Glavna rezidencija japanskog cara s predivnim vrtovima.
ObjectId(671d3f348e1aa51e8e86b025),Havana,Kuba,Juan Contino Aslan,1814207,728.3,UTC-5,55.38,59,Havana,Luyano,Cascajal,,ObjectId(671d631f1ddd1c5ec586b031),Catedral de la Habana,Barokna katedrala u starom gradu Havani.,ObjectId(671d631f1ddd1c5ec586b032),Castillo del Morro,Povijesna utvrda koja štiti ulaz u luku Havanu.,,,
ObjectId(671d3e151fbe2cf25e86b01e),Pariz,Francuska,Anne Hidalgo,2102650,105.4,CET,42.09,35,Seine,,,,ObjectId(671d631f1ddd1c5ec586b01d),Eiffelov toranj,"Simbol Francuske, visok 300 metara, izgrađen 1889. godine.",ObjectId(671d631f1ddd1c5ec586b01e),Muzej Louvre,"Najveći muzej umjetnosti na svijetu, poznat po Mona Lisi.",ObjectId(671d631f1ddd1c5ec586b01f),Katedrala Notre-Dame,Poznata gotička katedrala iz 12. stoljeća.
